,42-MG-BA,A172,AM-38,CCF-STTG1,LN-229,T98G,U-87-MG,YKG-1
"(0, 0)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 1)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 2)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 3)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 4)",0.733333333,0.733333333,1.233333333,0.733333333,1.233333333,0.733333333,0.733333333,0.733333333
"(0, 5)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(0, 6)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 7)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 8)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 9)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 10)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(0, 11)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 12)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 13)",0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778
"(0, 14)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 15)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 16)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 17)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(0, 18)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 19)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(0, 20)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
