,42-MG-BA,A172,AM-38,CCF-STTG1,LN-229,T98G,U-87-MG,YKG-1
"(0, 0)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 1)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 2)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 3)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 4)",1.0291060291060292,1.0291060291060292,1.0,1.0291060291060292,1.0,1.0291060291060292,1.0291060291060292,1.0291060291060292
"(0, 5)",1.7142857142857142,1.0384615384615385,1.0,1.7142857142857142,1.0,1.0384615384615385,1.7142857142857142,1.7142857142857142
"(0, 6)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 7)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 8)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 9)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 10)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(0, 11)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 12)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 13)",1.0,1.0,0.5777777777777777,1.0,0.5777777777777777,1.0,1.0,1.0
"(0, 14)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 15)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 16)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 17)",0.10590858416945373,0.10590858416945373,1.0,0.10590858416945373,1.0,0.10590858416945373,0.10590858416945373,0.10590858416945373
"(0, 18)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(0, 19)",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
