,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio,INDEX
0,"(['DRD2', 'DRD2'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
1,"(['DRD2', 'HTR3A'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
2,"(['DRD2', 'HTR4'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
3,"(['DRD2', 'ACHE'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
4,"(['DRD2', 'GABRA1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
5,"(['DRD2', 'EDNRA'], [True, True])",0.5,0.5,1.0,0.5,0.7857142857142857,0.5,1.2999999999999998,1.0,2.0,0.6363636363636364,
6,"(['DRD2', 'ADRB1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
7,"(['DRD2', 'ADRB2'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
8,"(['DRD2', 'FKBP1A'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
9,"(['DRD2', 'CA'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
10,"(['DRD2', 'THBD'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.0,1.2999999999999998,1.0,2.0,0.0,
11,"(['DRD2', 'GP1BA'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
12,"(['DRD2', 'HDAC'], [True, True])",0.375,0.5,0.0,0.75,0.7142857142857143,0.5,0.5249999999999999,0.75,0.0,0.7,
13,"(['DRD2', 'Frizzled'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
14,"(['DRD2', 'DV1'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
15,"(['DRD2', 'GSK3b'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
16,"(['DRD2', 'bCatenin'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
17,"(['DRD2', 'Notch'], [True, True])",0.5,0.5,1.0,0.5,0.8571428571428571,0.5,1.2999999999999998,1.0,2.0,0.5833333333333334,
18,"(['DRD2', 'KDR'], [True, True])",0.5,0.5,1.0,0.5,0.7857142857142857,0.5,1.2999999999999998,1.0,2.0,0.6363636363636364,
19,"(['DRD2', 'FLT1'], [True, True])",0.5,0.5,1.0,0.5,0.7857142857142857,0.5,1.2999999999999998,1.0,2.0,0.6363636363636364,
20,"(['DRD2', 'FLT3'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
21,"(['DRD2', 'FLT4'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
22,"(['DRD2', 'RET'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
23,"(['DRD2', 'FGF2'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
24,"(['DRD2', 'EGFR'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
25,"(['DRD2', 'PDGFR'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
26,"(['DRD2', 'KIT'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
27,"(['DRD2', 'ERBB2'], [True, True])",0.5,0.5,1.0,0.5,0.7857142857142857,0.5,1.2999999999999998,1.0,2.0,0.6363636363636364,
28,"(['DRD2', 'IGF1R'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
29,"(['DRD2', 'ALK'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
30,"(['DRD2', 'Syk'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
31,"(['DRD2', 'BTK'], [True, True])",0.5,0.5,1.0,0.5,0.7142857142857143,0.5,1.2999999999999998,1.0,2.0,0.7,
