,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio,INDEX
0,"(['DRD2'], {'DRD2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
1,"(['DRD2', 'HTR3A'], {'DRD2': True, 'HTR3A': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
2,"(['DRD2', 'HTR4'], {'DRD2': True, 'HTR4': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
3,"(['DRD2', 'ACHE'], {'DRD2': True, 'ACHE': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
4,"(['DRD2', 'GABRA1'], {'DRD2': True, 'GABRA1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
5,"(['DRD2', 'EDNRA'], {'DRD2': True, 'EDNRA': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777,
6,"(['DRD2', 'ADRB1'], {'DRD2': True, 'ADRB1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
7,"(['DRD2', 'ADRB2'], {'DRD2': True, 'ADRB2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
8,"(['DRD2', 'FKBP1A'], {'DRD2': True, 'FKBP1A': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
9,"(['DRD2', 'CA'], {'DRD2': True, 'CA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
10,"(['DRD2', 'THBD'], {'DRD2': True, 'THBD': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
11,"(['DRD2', 'GP1BA'], {'DRD2': True, 'GP1BA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
12,"(['DRD2', 'HDAC'], {'DRD2': True, 'HDAC': True})",0.75,0.5,1.0,0.5,0.5714285714285714,0.5,1.65,1.5,2.0,0.875,
13,"(['DRD2', 'Frizzled'], {'DRD2': True, 'Frizzled': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
14,"(['DRD2', 'DV1'], {'DRD2': True, 'DV1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
15,"(['DRD2', 'GSK3b'], {'DRD2': True, 'GSK3b': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
16,"(['DRD2', 'bCatenin'], {'DRD2': True, 'bCatenin': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
17,"(['DRD2', 'Notch'], {'DRD2': True, 'Notch': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
18,"(['DRD2', 'KDR'], {'DRD2': True, 'KDR': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777,
19,"(['DRD2', 'FLT1'], {'DRD2': True, 'FLT1': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777,
20,"(['DRD2', 'FLT3'], {'DRD2': True, 'FLT3': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
21,"(['DRD2', 'FLT4'], {'DRD2': True, 'FLT4': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
22,"(['DRD2', 'RET'], {'DRD2': True, 'RET': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
23,"(['DRD2', 'FGF2'], {'DRD2': True, 'FGF2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
24,"(['DRD2', 'EGFR'], {'DRD2': True, 'EGFR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
25,"(['DRD2', 'PDGFR'], {'DRD2': True, 'PDGFR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
26,"(['DRD2', 'KIT'], {'DRD2': True, 'KIT': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
27,"(['DRD2', 'ERBB2'], {'DRD2': True, 'ERBB2': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777,
28,"(['DRD2', 'IGF1R'], {'DRD2': True, 'IGF1R': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
29,"(['DRD2', 'ALK'], {'DRD2': True, 'ALK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
30,"(['DRD2', 'Syk'], {'DRD2': True, 'Syk': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
31,"(['DRD2', 'BTK'], {'DRD2': True, 'BTK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
32,"(['DRD2', 'AR'], {'DRD2': True, 'AR': True})",0.75,0.5,1.0,0.5,0.5714285714285714,0.5,1.65,1.5,2.0,0.875,
33,"(['DRD2', 'Gs'], {'DRD2': True, 'Gs': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
34,"(['DRD2', 'Gi'], {'DRD2': True, 'Gi': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
35,"(['DRD2', 'AC'], {'DRD2': True, 'AC': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
36,"(['DRD2', 'cAMP'], {'DRD2': True, 'cAMP': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
37,"(['DRD2', 'PKA'], {'DRD2': True, 'PKA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
38,"(['DRD2', 'ROCK'], {'DRD2': True, 'ROCK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
39,"(['DRD2', 'Gq'], {'DRD2': True, 'Gq': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
40,"(['DRD2', 'PLCb'], {'DRD2': True, 'PLCb': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
41,"(['DRD2', 'PLCg'], {'DRD2': True, 'PLCg': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
42,"(['DRD2', 'IP3R'], {'DRD2': True, 'IP3R': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
43,"(['DRD2', 'DAG'], {'DRD2': True, 'DAG': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
44,"(['DRD2', 'PKC'], {'DRD2': True, 'PKC': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
45,"(['DRD2', 'JAK'], {'DRD2': True, 'JAK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
46,"(['DRD2', 'Shc'], {'DRD2': True, 'Shc': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
47,"(['DRD2', 'Grb2'], {'DRD2': True, 'Grb2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
48,"(['DRD2', 'Sos'], {'DRD2': True, 'Sos': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
49,"(['DRD2', 'Ras'], {'DRD2': True, 'Ras': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
50,"(['DRD2', 'Raf'], {'DRD2': True, 'Raf': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
51,"(['DRD2', 'MEK'], {'DRD2': True, 'MEK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
52,"(['DRD2', 'ERK'], {'DRD2': True, 'ERK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
53,"(['DRD2', 'ESR1'], {'DRD2': True, 'ESR1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
54,"(['DRD2', 'SRC'], {'DRD2': True, 'SRC': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
55,"(['DRD2', 'PTEN'], {'DRD2': True, 'PTEN': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
56,"(['DRD2', 'PI3K'], {'DRD2': True, 'PI3K': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
57,"(['DRD2', 'PIP3'], {'DRD2': True, 'PIP3': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
58,"(['DRD2', 'PDK1'], {'DRD2': True, 'PDK1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
59,"(['DRD2', 'AKT'], {'DRD2': True, 'AKT': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
60,"(['DRD2', 'TNFR'], {'DRD2': True, 'TNFR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
61,"(['DRD2', 'TRAF2'], {'DRD2': True, 'TRAF2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
62,"(['DRD2', 'RIP1'], {'DRD2': True, 'RIP1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
63,"(['DRD2', 'IKK'], {'DRD2': True, 'IKK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
64,"(['DRD2', 'NFKB'], {'DRD2': True, 'NFKB': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
65,"(['DRD2', 'LKB1'], {'DRD2': True, 'LKB1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
66,"(['DRD2', 'AMPK'], {'DRD2': True, 'AMPK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
67,"(['DRD2', 'RSK2'], {'DRD2': True, 'RSK2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
68,"(['DRD2', 'TSC'], {'DRD2': True, 'TSC': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
69,"(['DRD2', 'Rheb'], {'DRD2': True, 'Rheb': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
70,"(['DRD2', 'mTORc1'], {'DRD2': True, 'mTORc1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
71,"(['DRD2', 'S6K'], {'DRD2': True, 'S6K': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
72,"(['DRD2', 'mTORc2'], {'DRD2': True, 'mTORc2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
73,"(['DRD2', 'STAT3'], {'DRD2': True, 'STAT3': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
74,"(['DRD2', 'VEGF'], {'DRD2': True, 'VEGF': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
75,"(['DRD2', 'eNOS'], {'DRD2': True, 'eNOS': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
76,"(['DRD2', 'OG'], {'DRD2': True, 'OG': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
77,"(['DRD2', 'MGMT'], {'DRD2': True, 'MGMT': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
78,"(['DRD2', 'IDH1'], {'DRD2': True, 'IDH1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
79,"(['DRD2', 'HIF1a'], {'DRD2': True, 'HIF1a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
80,"(['DRD2', 'iNOS'], {'DRD2': True, 'iNOS': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
81,"(['DRD2', 'COX2'], {'DRD2': True, 'COX2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
82,"(['DRD2', 'PERK'], {'DRD2': True, 'PERK': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
83,"(['DRD2', 'ELF2a'], {'DRD2': True, 'ELF2a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
84,"(['DRD2', 'IRE1a'], {'DRD2': True, 'IRE1a': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
85,"(['DRD2', 'TGFbR'], {'DRD2': True, 'TGFbR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
86,"(['DRD2', 'SMAD23'], {'DRD2': True, 'SMAD23': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
87,"(['DRD2', 'MEKK1'], {'DRD2': True, 'MEKK1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
