,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio
DRD2,"(['DRD2'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
HTR3A,"(['HTR3A'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
HTR4,"(['HTR4'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
ACHE,"(['ACHE'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
GABRA1,"(['GABRA1'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
EDNRA,"(['EDNRA'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
ADRB1,"(['ADRB1'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
ADRB2,"(['ADRB2'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
FKBP1A,"(['FKBP1A'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
CA,"(['CA'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
THBD,"(['THBD'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
GP1BA,"(['GP1BA'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
HDAC,"(['HDAC'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Frizzled,"(['Frizzled'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
DV1,"(['DV1'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
GSK3b,"(['GSK3b'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
bCatenin,"(['bCatenin'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Notch,"(['Notch'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
KDR,"(['KDR'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
FLT1,"(['FLT1'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
FLT3,"(['FLT3'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
FLT4,"(['FLT4'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
RET,"(['RET'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
FGF2,"(['FGF2'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
EGFR,"(['EGFR'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
PDGFR,"(['PDGFR'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
KIT,"(['KIT'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
ERBB2,"(['ERBB2'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
IGF1R,"(['IGF1R'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
ALK,"(['ALK'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Syk,"(['Syk'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
BTK,"(['BTK'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
AR,"(['AR'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Gs,"(['Gs'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Gi,"(['Gi'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
AC,"(['AC'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
cAMP,"(['cAMP'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
PKA,"(['PKA'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
ROCK,"(['ROCK'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Gq,"(['Gq'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
PLCb,"(['PLCb'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
PLCg,"(['PLCg'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
IP3R,"(['IP3R'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
DAG,"(['DAG'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
PKC,"(['PKC'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
JAK,"(['JAK'], [False])",0.5,0.5,1.0,0.5,0.5,0.5,1.2999999999999998,1.0,2.0,1.0
Shc,"(['Shc'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Grb2,"(['Grb2'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Sos,"(['Sos'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Ras,"(['Ras'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
Raf,"(['Raf'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
MEK,"(['MEK'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
ERK,"(['ERK'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
ESR1,"(['ESR1'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
SRC,"(['SRC'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
PTEN,"(['PTEN'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
PI3K,"(['PI3K'], [False])",0.5,0.5,1.0,0.5,0.5714285714285714,0.5,1.2999999999999998,1.0,2.0,0.875
PIP3,"(['PIP3'], [False])",0.5,0.5,1.0,0.5,0.5714285714285714,0.5,1.2999999999999998,1.0,2.0,0.875
PDK1,"(['PDK1'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
AKT,"(['AKT'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
TNFR,"(['TNFR'], [False])",0.375,0.5,1.0,0.5,0.6428571428571429,0.5,1.125,0.75,2.0,0.7777777777777777
TRAF2,"(['TRAF2'], [False])",0.5,0.3333333333333333,1.0,0.5,0.6428571428571429,0.5,1.65,1.5,2.0,0.7777777777777777
RIP1,"(['RIP1'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
IKK,"(['IKK'], [False])",0.5,0.5,1.0,0.5,0.6428571428571429,0.5,1.2999999999999998,1.0,2.0,0.7777777777777777
NFKB,"(['NFKB'], [False])",0.625,0.3333333333333333,1.0,0.5,0.5714285714285714,0.5,1.9125,1.875,2.0,0.875
