,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio
DRD2,"(['DRD2'], {'DRD2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
HTR3A,"(['HTR3A'], {'HTR3A': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
HTR4,"(['HTR4'], {'HTR4': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
ACHE,"(['ACHE'], {'ACHE': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
GABRA1,"(['GABRA1'], {'GABRA1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
EDNRA,"(['EDNRA'], {'EDNRA': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777
ADRB1,"(['ADRB1'], {'ADRB1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
ADRB2,"(['ADRB2'], {'ADRB2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
FKBP1A,"(['FKBP1A'], {'FKBP1A': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
CA,"(['CA'], {'CA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
THBD,"(['THBD'], {'THBD': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
GP1BA,"(['GP1BA'], {'GP1BA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
HDAC,"(['HDAC'], {'HDAC': True})",0.75,0.5,1.0,0.5,0.5714285714285714,0.5,1.65,1.5,2.0,0.875
Frizzled,"(['Frizzled'], {'Frizzled': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
DV1,"(['DV1'], {'DV1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
GSK3b,"(['GSK3b'], {'GSK3b': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
bCatenin,"(['bCatenin'], {'bCatenin': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
Notch,"(['Notch'], {'Notch': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
KDR,"(['KDR'], {'KDR': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777
FLT1,"(['FLT1'], {'FLT1': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777
FLT3,"(['FLT3'], {'FLT3': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
FLT4,"(['FLT4'], {'FLT4': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
RET,"(['RET'], {'RET': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
FGF2,"(['FGF2'], {'FGF2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875
